run_dir,tag,version,slurm_jobids,node_host,pid,gpu,started_utc,ended_utc,minutes,epochs,learning_rate,best_val_esr,last_val_esr,scalar_points,match_method,slurm_node,host_matches_slurm,checkpoints,checkpoint_bytes,checkpoint_sha256
lightning_logs/metal-ampformer_48ms-lr1e-4/version_0,metal-ampformer_48ms-lr1e-4,version_0,915949,msp3-2,1389663,NVIDIA H200,2026-09-17 00:48:50,2026-09-17 00:50:21,1.5,20,0.0001,0.8285108804702759,0.8285108804702759,715,checkpoint-path,msp3-2,True,2,5093526,ffc27c977528e2c9 ffc27c977528e2c9
lightning_logs/metal-ampformer_48ms-lr3e-3/version_0,metal-ampformer_48ms-lr3e-3,version_0,915952,msp3-2,1395485,NVIDIA H200,2026-09-17 00:57:44,2026-09-17 00:59:12,1.5,20,0.003,0.8242150545120239,0.8242150545120239,715,checkpoint-path,msp3-2,True,2,5093526,ff4834a1c9b64c62 ff4834a1c9b64c62
lightning_logs/metal-ampformer_48ms-lr3e-4/version_0,metal-ampformer_48ms-lr3e-4,version_0,915950,msp3-6,639333,NVIDIA H200,2026-09-17 00:56:19,2026-09-17 00:57:47,1.5,20,0.0003,0.37270811200141907,0.37270811200141907,715,checkpoint-path,msp3-6,True,2,5093526,2e4d955e50941551 2e4d955e50941551
lightning_logs/metal-wavenet_186ms/version_0,metal-wavenet_186ms,version_0,742730,msp3-0,2256589,,2026-08-24 20:31:06,2026-08-25 00:01:12,210.1,315,0.001,0.000840850523672998,0.000840850523672998,11257,tag+window,msp3-0,True,2,6186670,2914d07209b88d39 2914d07209b88d39
lightning_logs/metal-wavenet_186ms/version_1,metal-wavenet_186ms,version_1,744406,msp3-2,2110257,NVIDIA H200,2026-08-25 09:57:43,2026-08-25 14:25:15,267.5,400,0.001,0.0007458432810381055,0.0007477289182133973,14337,checkpoint-path,msp3-2,True,2,6186670,0c4b07dab4655dee 0c4b07dab4655dee
lightning_logs/metal-wavenet_186ms/version_2,metal-wavenet_186ms,version_2,915941,msp3-6,2225037,NVIDIA H200,2026-09-17 00:28:48,2026-09-17 00:42:12,13.4,20,0.001,0.00821310468018055,0.00821310468018055,715,checkpoint-path,msp3-6,True,2,6186670,31e550e174fed62b 31e550e174fed62b
lightning_logs/metal-wavenet_46ms/version_0,metal-wavenet_46ms,version_0,742729,msp3-3,1524181,NVIDIA H200,2026-08-24 20:27:36,2026-08-24 21:52:23,84.8,150,0.001,0.0062236301600933075,0.009265595115721226,5377,checkpoint-path,msp3-3,True,2,5222830,4b05bde358914e71 4b05bde358914e71
lightning_logs/metal-wavenet_46ms/version_1,metal-wavenet_46ms,version_1,915940,msp3-5,3080494,NVIDIA H200,2026-09-17 00:27:40,2026-09-17 00:39:00,11.3,20,0.001,0.017251458019018173,0.017251458019018173,715,checkpoint-path,msp3-5,True,2,5222830,d9304162f3564582 d9304162f3564582
lightning_logs/metal-wavenet_46ms-lr1e-2/version_0,metal-wavenet_46ms-lr1e-2,version_0,915948,msp3-6,3563944,NVIDIA H200,2026-09-17 00:42:25,2026-09-17 00:53:43,11.3,20,0.01,0.012438688427209854,0.012438688427209854,715,checkpoint-path,msp3-6,True,2,5222830,c376f05dd429a4f3 c376f05dd429a4f3
lightning_logs/metal-wavenet_46ms-lr1e-3/version_0,metal-wavenet_46ms-lr1e-3,version_0,915946,msp3-4,300423,NVIDIA H200,2026-09-17 00:41:19,2026-09-17 00:52:36,11.3,20,0.001,0.01688970811665058,0.01688970811665058,715,checkpoint-path,msp3-4,True,2,5222830,15763314232822c2 15763314232822c2
lightning_logs/metal-wavenet_46ms-lr1e-4/version_0,metal-wavenet_46ms-lr1e-4,version_0,915944,msp3-5,76584,NVIDIA H200,2026-09-17 00:39:19,2026-09-17 00:50:40,11.3,20,0.0001,0.07175703346729279,0.07179774343967438,715,checkpoint-path,msp3-5,True,2,5222830,0b5c9b1b9a024a9b 0b5c9b1b9a024a9b
lightning_logs/metal-wavenet_46ms-lr3e-3/version_0,metal-wavenet_46ms-lr3e-3,version_0,915947,msp3-2,1386653,NVIDIA H200,2026-09-17 00:41:53,2026-09-17 00:53:12,11.3,20,0.003,0.013963633216917515,0.013963633216917515,715,checkpoint-path,msp3-2,True,2,5222830,698d0b14ee8cc1a5 698d0b14ee8cc1a5
lightning_logs/metal-wavenet_46ms-lr3e-4/version_0,metal-wavenet_46ms-lr3e-4,version_0,915945,msp3-2,1386219,NVIDIA H200,2026-09-17 00:40:54,2026-09-17 00:52:12,11.3,20,0.0003,0.024818073958158493,0.024920400232076645,715,checkpoint-path,msp3-2,True,2,5222830,f36fa8cedded168c f36fa8cedded168c
lightning_logs/preamp-ampformer_187ms/version_0,preamp-ampformer_187ms,version_0,742724,msp3-7,1372177,NVIDIA H200,2026-08-24 20:00:55,2026-08-24 20:30:39,29.7,400,0.001,0.00873213168233633,0.008733042515814304,14337,checkpoint-path,msp3-7,True,2,5093526,b79a95e45fa5fd1f b79a95e45fa5fd1f
lightning_logs/preamp-ampformer_187ms/version_1,preamp-ampformer_187ms,version_1,744420,msp3-2,2207176,NVIDIA H200,2026-08-25 10:20:47,2026-08-25 11:03:41,42.9,570,0.001,0.007698701694607735,0.007932532578706741,20427,checkpoint-path,msp3-2,True,2,5093654,f2c69831e6de8be7 f2c69831e6de8be7
lightning_logs/preamp-ampformer_187ms/version_2,preamp-ampformer_187ms,version_2,915939,msp3-6,2029330,NVIDIA H200,2026-09-17 00:27:04,2026-09-17 00:28:35,1.5,20,0.001,0.09966114163398743,0.09966114163398743,715,checkpoint-path,msp3-6,True,2,5093526,ffd9aaecbd57cf2d ffd9aaecbd57cf2d
lightning_logs/preamp-ampformer_48ms/version_0,preamp-ampformer_48ms,version_0,742723,msp3-5,3021624,NVIDIA H200,2026-08-24 19:52:33,2026-08-24 20:22:12,29.7,400,0.001,0.008906315080821514,0.008906695991754532,14337,checkpoint-path,msp3-5,True,2,5093526,73169b8a3be9745a 73169b8a3be9745a
lightning_logs/preamp-ampformer_48ms/version_1,preamp-ampformer_48ms,version_1,744419,msp3-1,1148919,NVIDIA H200,2026-08-25 10:08:44,2026-08-25 10:56:36,47.9,641,0.001,0.006946257781237364,0.007372003048658371,22968,checkpoint-path,msp3-1,True,2,5093654,bfe197074754454f bfe197074754454f
lightning_logs/preamp-ampformer_48ms/version_2,preamp-ampformer_48ms,version_2,915938,msp3-5,2873987,NVIDIA H200,2026-09-17 00:26:03,2026-09-17 00:27:32,1.5,20,0.001,0.0938592404127121,0.0938592404127121,715,checkpoint-path,msp3-5,True,2,5093526,8fb64c5e8ecba615 8fb64c5e8ecba615
lightning_logs/preamp-wavenet_186ms/version_0,preamp-wavenet_186ms,version_0,742722,msp3-1,279528,,2026-08-24 19:52:35,2026-08-24 21:52:21,119.8,179,0.001,0.0004720122669823468,0.0009677260532043874,6399,tag+window,msp3-1,True,2,6186670,b0e6a4f315a7444c b0e6a4f315a7444c
lightning_logs/preamp-wavenet_186ms/version_1,preamp-wavenet_186ms,version_1,742722,msp3-1,577035,,2026-08-24 21:54:44,2026-08-25 00:01:07,126.4,189,0.001,0.00048084298032335937,0.0004854887374676764,6756,jobname+window,msp3-1,True,2,6186670,f18a83e9bf44e1cc f18a83e9bf44e1cc
